Brand,Model,Price
Samsung,Samsung Galaxy Z Fold 7,"1,74,999"
Samsung,Samsung Galaxy Z Flip 7,"1,09,999"
Samsung,Samsung Galaxy A56,"42,999"
Samsung,Samsung Galaxy M36 5G,"17,499"
Samsung,Samsung Galaxy A16 5G,"18,999"
Samsung,Samsung Galaxy S26,"87,999"
Samsung,Samsung Galaxy S26 Ultra,"1,39,000"
iPhone,Apple iPhone16 Plus,"89,000"
iPhone,Apple iPhone 15 Pro Max,"1,59,900"
iPhone,Apple iPhone 14,"59,900"
iPhone,Apple iPhone 14 Pro,"1,19,900"
Realme,Realme 16Pro 5G,"37,000"
Google,Google Pixel 10 5G,"80,000"
Samsung,Samsung A14 5G,"18000"
OPPO,Oppo A6 5G,"24,000"
Realme,Realme P4 5G,"30,000"

Vivo,Vivo Y31 5G,28000
Motorola,Motorola G86,18000
Nothing,Nothing Phone 3a,27000
Nothing,Nothing Phone 4b,36000
